sequence,tx_ns,rx_ns,latency_ns
1,200000000,200000204,204
2,200000000,200000206,206
3,200000000,200000208,208
4,200000000,200000210,210
5,200000000,200000212,212
6,200000000,200000214,214
7,200000000,200000216,216
8,200000000,200000218,218
9,200000000,200000220,220
10,200000000,200000222,222
11,200000000,200000224,224
12,200000000,200000226,226
13,200000000,200000228,228
14,200000000,200000230,230
15,200000000,200000232,232
16,200000000,200000234,234
17,200000000,200000236,236
18,200000000,200000238,238
19,200000000,200000240,240
20,200000000,200000242,242
21,200000000,200000244,244
22,200000000,200000246,246
23,200000000,200000248,248
24,200000000,200000250,250
25,200000000,200000252,252
26,200000000,200000254,254
27,200000000,200000256,256
28,200000000,200000258,258
29,200000000,200000260,260
30,200000000,200000262,262
31,200000000,200000264,264
32,200000000,200000266,266
33,200000000,200000268,268
34,200000000,200000270,270
35,200000000,200000272,272
36,200000000,200000274,274
37,200000000,200000276,276
38,200000000,200000278,278
39,200000000,200000280,280
40,200000000,200000282,282
41,200000000,200000284,284
42,200000000,200000286,286
43,200000000,200000288,288
44,200000000,200000290,290
45,200000000,200000292,292
46,200000000,200000294,294
47,200000000,200000296,296
48,200000000,200000298,298
49,200000000,200000300,300
50,200000000,200000302,302
51,200000000,200000304,304
52,200000000,200000306,306
53,200000000,200000308,308
54,200000000,200000310,310
55,200000000,200000312,312
56,200000000,200000314,314
57,200000000,200000316,316
58,200000000,200000318,318
59,200000000,200000320,320
60,200000000,200000322,322
61,200000000,200000324,324
62,200000000,200000326,326
63,200000000,200000328,328
64,200000000,200000330,330
65,200000000,200000332,332
66,200000000,200000334,334
67,200000000,200000336,336
68,200000000,200000338,338
69,200000000,200000340,340
70,200000000,200000342,342
71,200000000,200000344,344
72,200000000,200000346,346
73,200000000,200000348,348
74,200000000,200000350,350
75,200000000,200000352,352
76,200000000,200000354,354
77,200000000,200000356,356
78,200000000,200000358,358
79,200000000,200000360,360
80,200000000,200000362,362
81,200000000,200000364,364
82,200000000,200000366,366
83,200000000,200000368,368
84,200000000,200000370,370
85,200000000,200000372,372
86,200000000,200000374,374
87,200000000,200000376,376
88,200000000,200000378,378
89,200000000,200000380,380
90,200000000,200000382,382
91,200000000,200000384,384
92,200000000,200000386,386
93,200000000,200000388,388
94,200000000,200000390,390
95,200000000,200000392,392
96,200000000,200000394,394
97,200000000,200000396,396
98,200000000,200000398,398
99,200000000,200000400,400
100,200000000,200000402,402
101,200000000,200000404,404
102,200000000,200000406,406
103,200000000,200000408,408
104,200000000,200000410,410
105,200000000,200000412,412
106,200000000,200000414,414
107,200000000,200000416,416
108,200000000,200000418,418
109,200000000,200000420,420
110,200000000,200000422,422
111,200000000,200000424,424
112,200000000,200000426,426
113,200000000,200000428,428
114,200000000,200000430,430
115,200000000,200000432,432
116,200000000,200000434,434
117,200000000,200000436,436
118,200000000,200000438,438
119,200000000,200000440,440
120,200000000,200000442,442
121,200000000,200000444,444
122,200000000,200000446,446
123,200000000,200000448,448
124,200000000,200000450,450
125,200000000,200000452,452
126,200000000,200000454,454
127,200000000,200000456,456
128,200000000,200000458,458
129,200000000,200000460,460
130,200000000,200000462,462
131,200000000,200000464,464
132,200000000,200000466,466
133,200000000,200000468,468
134,200000000,200000470,470
135,200000000,200000472,472
136,200000000,200000474,474
137,200000000,200000476,476
138,200000000,200000478,478
139,200000000,200000480,480
140,200000000,200000482,482
141,200000000,200000484,484
142,200000000,200000486,486
143,200000000,200000488,488
144,200000000,200000490,490
145,200000000,200000492,492
146,200000000,200000494,494
147,200000000,200000496,496
148,200000000,200000498,498
149,200000000,200000500,500
150,200000000,200000502,502
151,200000000,200000504,504
152,200000000,200000506,506
153,200000000,200000508,508
154,200000000,200000510,510
155,200000000,200000512,512
156,200000000,200000514,514
157,200000000,200000516,516
158,200000000,200000518,518
159,200000000,200000520,520
160,200000000,200000522,522
161,200000000,200000524,524
162,200000000,200000526,526
163,200000000,200000528,528
164,200000000,200000530,530
165,200000000,200000532,532
166,200000000,200000534,534
167,200000000,200000536,536
168,200000000,200000538,538
169,200000000,200000540,540
170,200000000,200000542,542
171,200000000,200000544,544
172,200000000,200000546,546
173,200000000,200000548,548
174,200000000,200000550,550
175,200000000,200000552,552
176,200000000,200000554,554
177,200000000,200000556,556
178,200000000,200000558,558
179,200000000,200000560,560
180,200000000,200000562,562
181,200000000,200000564,564
182,200000000,200000566,566
183,200000000,200000568,568
184,200000000,200000570,570
185,200000000,200000572,572
186,200000000,200000574,574
187,200000000,200000576,576
188,200000000,200000578,578
189,200000000,200000580,580
190,200000000,200000582,582
191,200000000,200000584,584
192,200000000,200000586,586
193,200000000,200000588,588
194,200000000,200000590,590
195,200000000,200000592,592
196,200000000,200000594,594
197,200000000,200000596,596
198,200000000,200000598,598
199,200000000,200000600,600
200,200000000,200000602,602
201,200000000,200000604,604
202,200000000,200000606,606
203,200000000,200000608,608
204,200000000,200000610,610
205,200000000,200000612,612
206,200000000,200000614,614
207,200000000,200000616,616
208,200000000,200000618,618
209,200000000,200000620,620
210,200000000,200000622,622
211,200000000,200000624,624
212,200000000,200000626,626
213,200000000,200000628,628
214,200000000,200000630,630
215,200000000,200000632,632
216,200000000,200000634,634
217,200000000,200000636,636
218,200000000,200000638,638
219,200000000,200000640,640
220,200000000,200000642,642
221,200000000,200000644,644
222,200000000,200000646,646
223,200000000,200000648,648
224,200000000,200000650,650
225,200000000,200000652,652
226,200000000,200000654,654
227,200000000,200000656,656
228,200000000,200000658,658
229,200000000,200000660,660
230,200000000,200000662,662
231,200000000,200000664,664
232,200000000,200000666,666
233,200000000,200000668,668
234,200000000,200000670,670
235,200000000,200000672,672
236,200000000,200000674,674
237,200000000,200000676,676
238,200000000,200000678,678
239,200000000,200000680,680
240,200000000,200000682,682
241,200000000,200000684,684
242,200000000,200000686,686
243,200000000,200000688,688
244,200000000,200000690,690
245,200000000,200000692,692
246,200000000,200000694,694
247,200000000,200000696,696
248,200000000,200000698,698
249,200000000,200000700,700
250,200000000,200000702,702
251,200000000,200000704,704
252,200000000,200000706,706
253,200000000,200000708,708
254,200000000,200000710,710
255,200000000,200000712,712
256,200000000,200000714,714
257,200000000,200000716,716
258,200000000,200000718,718
259,200000000,200000720,720
260,200000000,200000722,722
261,200000000,200000724,724
262,200000000,200000726,726
263,200000000,200000728,728
264,200000000,200000730,730
265,200000000,200000732,732
266,200000000,200000734,734
267,200000000,200000736,736
268,200000000,200000738,738
269,200000000,200000740,740
270,200000000,200000742,742
271,200000000,200000744,744
272,200000000,200000746,746
273,200000000,200000748,748
274,200000000,200000750,750
275,200000000,200000752,752
276,200000000,200000754,754
277,200000000,200000756,756
278,200000000,200000758,758
279,200000000,200000760,760
280,200000000,200000762,762
281,200000000,200000764,764
282,200000000,200000766,766
283,200000000,200000768,768
284,200000000,200000770,770
285,200000000,200000772,772
286,200000000,200000774,774
287,200000000,200000776,776
288,200000000,200000778,778
289,200000000,200000780,780
290,200000000,200000782,782
291,200000000,200000784,784
292,200000000,200000786,786
293,200000000,200000788,788
294,200000000,200000790,790
295,200000000,200000792,792
296,200000000,200000794,794
297,200000000,200000796,796
298,200000000,200000798,798
299,200000000,200000800,800
300,200000000,200000802,802
301,200000000,200000804,804
302,200000000,200000806,806
303,200000000,200000808,808
304,200000000,200000810,810
305,200000000,200000812,812
